,Lambda,Feature,Aggregation Type,Attack Mean,Benign Mean,Total Mean
400,0.01,TCP Flag count,Socket,0.00010371457799299613,-0.0002353294119498882,-6.580741697844604e-05
401,3.0,TCP ACK,DST IP,3.184339097760501e-05,-0.00017046585067772066,-6.931122985005782e-05
402,1.0,TCP PSH,DST IP,1.3410739293865648e-06,-0.0001401026219214303,-6.938077399602187e-05
403,5.0,Median (JIT),Socket (JIT),-6.938213148107514e-05,-8.163268219994814e-05,-7.550740684051163e-05
404,0.1,Mean (JIT),SRC IP (JIT),-2.666035428391156e-05,-0.00012641681163047528,-7.653858295719341e-05
405,5.0,50th QDS,Socket,2.4984753966117868e-05,-0.00018667502087501826,-8.08451334544502e-05
406,5.0,TCP Flag count,Socket,9.504974728004567e-05,-0.00026370329159159777,-8.432677215577605e-05
407,0.01,Weight (JIT),DST IP (JIT),0.00040380006105084326,-0.0005835232589037243,-8.98615989264405e-05
408,0.01,Weight,DST IP,0.0004339531247829281,-0.0006288509184456821,-9.744889683137699e-05
409,0.01,Weight,Channel,0.00011910296171959193,-0.00034106602435754414,-0.00011098153131897611
410,0.01,Weight (JIT),Socket (JIT),0.00015778269730959635,-0.0003928055285491866,-0.00011751141561979512
411,0.01,Weight,SRC IP,0.00020012170001470459,-0.0004394998247446626,-0.000119689062364979
412,5.0,TCP ACK,DST IP,2.624222553346393e-05,-0.0002968055931572175,-0.0001352816838118768
413,0.1,TCP Flag count,Socket,6.784603799972606e-05,-0.0003445366093528992,-0.00013834528567658656
414,1.0,TCP Flag count,Socket,0.00011716660543493828,-0.0004099996322144027,-0.00014641651338973222
415,3.0,TCP Flag count,Socket,5.279670493671417e-05,-0.0004512147569500959,-0.00019920902600669086
416,0.01,Weight (JIT),Channel (JIT),-4.0610232919510243e-05,-0.00037853429025860126,-0.00020957226158905575
417,0.01,TCP RST,DST IP,2.476977590570132e-05,-0.00045140527281506296,-0.00021331774845468083
418,0.01,Weight (JIT),SRC IP (JIT),-5.552911204440734e-05,-0.00041834304881406765,-0.0002369360804292375
419,0.01,Weight,Socket,0.00016475790461987057,-0.0008516412417257333,-0.0003434416685529313
